date,name,id,finger
2025-07-08 16:32:47.824339,,,
2025-07-08 16:36:05.892088,,,
2025-07-08 16:36:35.656655,,,
2025-07-08 16:37:12.977906,,,
2025-07-08 16:52:17.987542,,,
2025-07-08 16:55:22.714071,,,
2025-07-08 16:56:51.173405,,,
2025-07-08 16:57:53.026439,,,
2025-07-08 16:59:08.752314,,,
2025-07-08 16:59:40.754672,,,
2025-07-09 10:06:25.515912,,,
2025-07-09 10:07:35.332398,,,
2025-07-09 10:08:33.187508,,,
2025-07-09 10:12:59.473428,,,
2025-07-09 10:13:53.049743,,,
2025-07-09 10:15:32.330919,,,
2025-07-09 10:47:13.223135,,1,R_Thumb
2025-07-09 11:02:52.204765,,0,R_Thumb
2025-07-09 11:03:23.488825,,0,R_Thumb
2025-07-09 11:06:56.351547,,0,R_Thumb
2025-07-09 11:07:39.911010,,1,R_Thumb
2025-07-09 11:11:13.879341,,0,R_Thumb
2025-07-09 11:12:44.440758,,,
2025-07-09 11:14:00.019113,,1,R_Thumb
2025-07-09 11:16:30.260292,,,
2025-07-09 11:16:58.001088,,1,R_Thumb
2025-07-09 11:18:55.318674,,1,R_Thumb
2025-07-09 11:19:22.374143,,,
2025-07-09 11:19:38.153911,,,
2025-07-09 11:27:00.635700,,1,R_Thumb
2025-07-09 11:27:55.252703,,0,R_Thumb
2025-07-09 11:28:19.707541,,0,R_Thumb
2025-07-09 11:28:45.883181,,0,R_Thumb
2025-07-09 11:29:07.442263,,0,R_Thumb
2025-07-09 11:35:23.401935,,,
2025-07-09 12:24:33.018550,,,
2025-07-09 12:27:13.765594,,,
2025-07-09 12:35:05.160804,,,
2025-07-09 13:23:42.077522,,,
2025-07-09 13:25:27.552234,,,
2025-07-09 13:26:26.683011,,,
2025-07-09 13:27:13.610140,,,
2025-07-09 13:27:58.619319,,,
2025-07-09 13:28:52.900181,,,
2025-07-09 13:33:01.916544,,,
2025-07-09 13:34:48.980674,,,
2025-07-09 13:42:20.045943,,1,R_Thumb
2025-07-09 15:01:42.145443,,,
2025-07-10 17:03:37.526296,,,
2025-07-10 17:04:05.686309,,,
2025-07-10 17:04:15.388022,,,
2025-07-10 17:04:33.336728,,,
2025-07-10 17:04:46.465662,,,
2025-07-10 17:05:09.363184,,,
2025-07-14 10:27:42.334271,,,
2025-07-14 10:29:03.758303,,,
2025-07-14 10:29:50.909559,,,
2025-07-14 10:30:09.140747,,,
2025-07-14 10:30:39.569934,,,
2025-07-14 10:39:56.870838,,,
2025-07-14 10:40:40.225780,,,
2025-07-14 10:41:03.433985,,,
2025-07-14 10:41:51.086237,,,
2025-07-14 10:42:00.412788,,,
2025-07-14 10:42:08.869548,,,
2025-07-14 10:42:14.884097,,,
2025-07-14 10:43:37.250739,,,
2025-07-14 10:43:44.058616,,,
2025-07-14 10:44:22.248055,,,
2025-07-14 10:49:23.321869,,,
2025-07-14 10:53:28.618190,,,
